Id,text,Predicted_Label
Fake_01,ഉളള ലഗഡവൻ ഇപപള എനത കരണ,original
Fake_02,രജനഷ പറഞഞപല എനകകപപൾ തനനയത അങങനയണ ഇപപൾ തനനനനത ഇങങനയണ എനതകകയ,Fake
Fake_03,ചടട വർതത വയകകനനത കരളതതലണ ഭരകകനന നർതത ഇനതയയലലലഇവട ആരഗയ മനതര ഷലടചചറണ,original
Fake_04,shame for entir woman kerala,original
Fake_05,code janagh andhu wide busi cheythalum vijayikum india,Fake
Fake_06,whi not all countri club togeth block china the maximum extend and renam covid chines viru such case when some one work destroy other natur interven contain neg forc that grace god truth,Fake
Fake_07,ethil appuram നണകകഡ വനനടടലല cpmneadipoli nalla avatharanam,original
Fake_08,കറണ ഒനന മചചപപടട ഓമകരനയ വനനപപൾ നമമട പണവനറ നതതവതതൽ സകരണ കടതതതലല,Fake
Fake_09,കമഡ സററർസ അലല ചരചച കളചച വശഷ ചദകകൻ,original
Fake_10,marunaadan kandupidutham,original
Fake_11,പടടന ആടയ ചചചസനറ തലകകടട,original
Fake_12,നയമ അവർതതനന കണടവര എനനടട അവർ ബധക ആകലല കരണ പർടടകകർകക covid വരലലയരകക,original
Fake_13,corona viru program creat china,Fake
Fake_14,ഉളപപ,original
Fake_15,ഇനന വറസ ലകമങങ വയപചചട കരണഭത പണറയ വജയനനന സഖവതനന,original
Fake_16,വസതതകൾ പഠന വധയമകകയടടലല മതര പടടനന സരകഷതമയതങങന എനത കണട വവധ വറസ ഭദങങൾ ഉണടകനന പരകരയ ഇതര വറസകൾകക തതൽ ഇലല അടകകട വകഭദങങൾ ഉണടകണമങകൽ അതനളള പരതയക കതരമ മതവറസൽ കയററ വടനളള സധയത,Fake
Fake_17,ഒരതതൻ കലകകതതകക ഇരയയടട ദവസ കഴഞഞലല അതന മൻപ തരവതര കളകകൻ കണചച മനസണടലല കണത പകരത,original
Fake_18,തതവക ആചരയനമർകക കയയബദധ നററകകരത,original
Fake_19,final world will name and count base befor corina after corona,Fake
Fake_20,bengalik egan namud nattil ethii ennu manasilakunundallo evaruk oru varsham kude koduth subham,original
Fake_21,പരവസ,original
Fake_22,ഉതപധപപചച കശയൽ തടട വഴനനത ഇവർകക ആണങകൽ അതനറ ഏതങകല മഷവശ ഇവർ പറയമ ഇരകകനന കമപ അറഞഞണട ആരല മറകകമ,Fake
Fake_23,allahuuu akbarr,original
Fake_24,palt mahtunu,original
Fake_25,ഉറപപണ കവഡ ഒമകരൺ എലല ശരയവ നഷനതളയ അവതരണ ushual കലകക,original
Fake_26,എലല വരടയ പരതഥന,Fake
Fake_27,ശജഹൻ ചടടൻ സലയടട ഇങങന സതയ പറയൻ ഇതവണ മധയമ പരവർകകൻ,Fake
Fake_28,ബലകകമൻ വനന അവട കണട ഇവട എനന,Fake
Fake_29,മണടനമരയ ഡകടർമർ പറയനനത മതര വശവസകകൻ വഡഢയലല ജകകബബ,Fake
Fake_30,പടടകടടരകകൻ അപര തലകകടടതനന,original
Fake_31,നഷടപരഹര എലല രജയങങൾകക കടകകനനലല എങകൽ അകരമചച നശപപകകണ,Fake
Fake_32,communist have wear mask whi enjoy monkey face,Fake
Fake_33,എനതര ദരനതമണ,original
Fake_34,ചനയട കയയൽ കറണയട antedot ഉണട ചനയലളള മസലസനയണ ഇനതയയൽ പരചരപപകകനനതനയ വടടടടളളത ജഹദകളമയ ചർനനണ ഓപപറഷൻ ഈയട ബഹറൽ നനന പടകകപപടട ചനസ മസലസ കറണ infect കടത തമഴ നടടല അമപരൽ പടചചവരല corona ചനകകർ ഉണടയരനന patnayil പടചചവര ചനകകര മലഷയകകര അവരല അതനറ അർതഥ ജഹദകള കടട നമമള നശപപകകൻ ശരമകകനന എനനളളതണ എനതന മദജ lockin പരഖയപചചലലയരനനങകൽ പകഷ കരള തനന തകർനനന ഇവരട ആരധനലയങങൾ പരശധചചൽ ഇവടയ അവർ എതതയടടണടക അതകണടണലല രണട ജലലകളൽ അപകടവസഥ ഡൽഹ പരകഷപണതതടകട അവട പടടപയ ജഹദ നതകകനമര പറതത കടതതൻ പററതത സഹചരയമണ അതന ഭകരത സഷടചച പററ വണടയണ ലററ വളളവ cut ചയത തഴലളകള പലയന ചയയകകനനത കടടതതൽ അവർകക രകഷ പടമലല,Fake
Fake_35,മണടൻ ശപപണട വജയൻ തരമണടനമരയ മലയളകള ഭരകകനന,original
Fake_36,മതതകളയ വരകൾ,original
Fake_37,super thiruvathira kali,original
Fake_38,russia have act proactiv quarantin all foreign countri visitor separ build for safe period thu creat firewal where india travel be allow self which bad decis lead the current mess includ kerala,Fake
Fake_39,അമരകകയ തറവളചച വർകക സമർപപകകനനഇതതനനയണ ടരപ ആദയ പറഞഞത,Fake
Fake_40,ചനയല മരണ സഖയ പപന കകൾ വലതണ,Fake
Fake_41,coronaykku nammud pathanjali maman valla marunno kashayamo kandethikanum,original
Fake_42,തബലഗ മസററകക ഗവണമനറ പർമഷൻ കടതത,Fake
Fake_43,പറഞഞത സഭവകകടട ലകതതല വണട സമധന പലരടട,Fake
Fake_44,ede sagavu endina epo america poyadu keralitil hospit ell,Fake
Fake_45,ezhuthachanu ninnum kidannum patham,Fake
Fake_46,ഇനയ ലകക ഡൺആണപരപട ആണകൽപരയ സഗമ കററനപകര ഇചചര തരണ,original
Fake_47,they revis the social distanc from it fine,Fake
Fake_48,ശസതര ഇനന ഒനന പറയ മററനനൾ വറനന മടട കഴകകമനന കഴകകൻ പടലലനന എനതകണടണനന മലബർ പരശധകകണ,original
Fake_49,വഹനൽ വറസ ടസററ ചയത നകകയതയരകകമ പനനട കൺടരൾ കടടകകണലല മററ രണട നഗരങങള അവർ ആദയമ,Fake
Fake_50,popul target ethreya expect cheyyunn sirmar,Fake
Fake_51,അവരവമരശകത അവരട വലല ഏററടകക കലമയലല അവര കതരകയറന തടങങയടട അവരക ചനസ കടകക അതന ധയരയ നങങളകക ഇലല വറസ ഉണട who എനതണ പറയനനത അതനന പബളഷ ചയയമ,Fake
Fake_52,മരണ വടടൽ തരവതര നടതത അതണ അതനവണട പറതത പനന പരവസകൾ ഉണടവന പടലല,original
Fake_53,cant say anyth now but all these countri protect their secret mayb true fals wait and see,Fake
Fake_54,the next north korea congratss,Fake
Fake_55,interest hear you,Fake
Fake_56,ഓമകരണന ഇതല നലല വരവൽപ നടടല കടടല,original
Fake_57,തൽകകല ആശവസ,Fake
Fake_58,സതയമണണകൽ എലല രഷടരങങൾ ഒതത ചർനന ഒററപടടതതണ,Fake
Fake_59,അനഭവകകനനത പവപപടട സധരണകകരയ ജനങങൾ പതയ പരടടകൾ,original
Fake_60,വമർശകകനന,original
Fake_61,neeyok marunnu companyud kayil ninnu cash medichat kidannu chilakunnath kndill naaarik ninteyok oru medium phoooooooo,Fake
Fake_62,കതത വചച നധയണ പണറയകക,original
Fake_63,ഇതകക ഉളളത തനന,Fake
Fake_64,kumbha mela തകരകകൻ ഉളള christian mechineri കളള പരചരണ,Fake
Fake_65,panna rascal paranaari,original
Fake_66,korona നരതത പലഒരഴച മൻപ ഒമപതത സഥനതത നനന ഇനതയ ഇനന കതത അഞച എതത ഇരകകനന ഗൾഡ ലഭകകൻ വരള ദവസ കതതരനനൽ എനന തനനനനകറണ പകമയരകക പകഷ എതര കണട മതര നകകയൽ ഡൺഇനറ വജയ പറയപയ വലലത കറയചച ഉളളത കറചച അങങ പകടടതററലലതത വശകലന,Fake
Fake_67,oro koprayang,original
Fake_68,പണറതര,original
Fake_69,തനനവസ അലലതനത പറയൻ,original
Fake_70,തരവതര നടകകമപൾ ഓർതത ചരചചത മതരമണ,original
Fake_71,ivid pravasik vannal anallo kuzhapam,original
Fake_72,thiruvathirakkalinadakkattecovidകടനനkoodatteiniyumkoodattethiruvathirakalikkuaalukalpora,original
Fake_73,കറണ സപഎ dyfi ഭയകകനന ബകകററൽ പസയടൻ കശലലതതതനൽ ഒളചചടൻ തയറടകകനന,original
Fake_74,ivd oru govt ill nerik kaanikumbol ellavarum urangukayaayirunno atho samudayath motham theevravaadhik ennu vilikuvaanulla avasaram viniyogikukayaayirunno kalla naariya mathabraanthanmaar ningal orikalum swargathil praveshikukayilla saaoohya dhrohik,original
Fake_75,ivareyokk jeyipichavar sammadikkanam,original
Fake_76,പറഞഞ തരനനതന മമപ question ചദചച വയടകകത,original
Fake_77,കറണയപപററയറയൻ ഇതനന കണടനകകa href,Fake
Fake_78,ചവപപ ആയതകണട ഓമകരൺ വരലലസത കറണയ വരലല,original
Fake_79,അവട ഉളള സതയങങൾ പറതത വരലല,Fake
Fake_80,china have creat thi virou and they the antidot weapon tri use against india but will come back strongli,Fake
Fake_81,medam അടപപല thooral,original
Fake_82,മഡകകൽ മഫയ പടയൽ അകപപടടപയ ഇനന അവർകകവണട ശബദകകന സരകഷണ ഒരകകന നമമട മഖയധര മധയമങങള സർകകര മതസരകക കഴകകനനത ശവസകകനനത ഒകക വഷമയമണനന ഇകകടടർകക അറയൻ മലഞഞടടലല quotപണതതനമല പരനത പറകകലലലല quot,Fake
Fake_83,ithoru ottapeetta sambavam ayirikkum mandanmar,original
Fake_84,super,original
Fake_85,balikudeerangal jai dingan,Fake
Fake_86,ഷജൻ വർതതയൽ പറഞഞ ശഭസചന സതയമയ ഭവകകടട വളര നനദ,Fake
Fake_87,koronaiku sesham veendum namal pazhaya kuththazhinja jeevitham thann thudarananu bhavamenkil ithilum valiya duranthang undakumdeivath snehichum deivakalpanak anusarichum jeevikkan nammuk kazhiyumarakanamthat well,Fake
Fake_88,കരണ,Fake
Fake_89,അലലല മർകസററ പർടടകകർകക ഇതതര ധർഷടയ കടതൽ അവർകക എനത തനയസവ കണകക അതൽ തററലല പകഷ തനന ആരല കണചച വലയ തററണ ഇരടട ചങക എനനലല ഇരടടതതപപ എനന പറയൻ,original
Fake_90,kitt vangi kuthiyavarella moonji nadakkunnu,original
Fake_91,sir thank,Fake
Fake_92,prepar list all product from chinees compani stop buy,Fake
Fake_93,ബദധയലലയമ അനതരഷടര രഗതത ചർചച ആകകക ലഗൻറ പരൽ ഇനതയയല മസലങങള വടടയടയ ഗവൺമൻറ നതര എലല മതതര കകഷകള ഒനനകകക,Fake
Fake_94,നതയല ബഫനറ പരൽ നരപരധകള കനന ചണകങങൾ ചയതതനകകൾ വലയര തററ ലകതത ചയയലലചയയൻ സധകകലല,original
Fake_95,evar oke ntena vert viru nne indakan nadakn,Fake
Fake_96,അവരട ഭകഷണ വളര കഷടമണ പനന പലതത വറസ വരതരകക അവട മസലങങള തടവലടട അവർ എനത പടചചവനറ പരകഷണ തനന അളളഹ കകകടട ആമൻ,Fake
Fake_97,ningal aum arivu kandaal porey,Fake
Fake_98,മനദബദധകള ഭരണഘടന സരകഷകകവൻ ചമതലപടതതയൽ ഇങങനയകക ഇരകക,original
Fake_99,america europ,Fake
Fake_100,halal covid,Fake
Fake_101,well do,Fake
Fake_102,എലല മഫയ കകൾകക പടയകനനണട കകര ജനങങള ദരഹകകനന ദരഹ ചയയനനത നർതതകക അലലങകൽ രപതതല ബബനറ രപതതലയരകക ജഗരത all ahu akbar,Fake
Fake_103,പരകതകക ബലൻസ ഉണട amazon കതതയപപൾ എതര ജവജലങങൾ നഷടപപടട അതന തലയമയ മനഷയര നഷടപപട,Fake
Fake_104,there divin hand behind itreturn moral,Fake
Fake_105,kodi matr undavu anik kanilla,original
Fake_106,manushyathwam illatha kammikalal china bharikunnathu athukondu ithil athbhuthapedendathilla,Fake
Fake_107,entealiyasammathichu,original
Fake_108,കരളതതലകകളള ഒമകരണൻറ വരവ ആഘഷമകക കരള സർകകർ തനകക ലഭചച ഗഭര സവകരണതതന ഒരപട നനദയണടനന ഉടനയനന വടട പവലലനന ഒമകരൺ പരതകരചച,original
Fake_109,എനത പളളചച എടകകനല നകനനവന തടട പടചച അടചചല sagav,Fake
Fake_110,ഇവട ഇപപഴ വളകകതത അനതങങൾ ഉണട,Fake
Fake_111,മകകപപന എലലയടതത വധകൾ ഭരകകനനട൦ ആഘഷമകക൦ നലല ഉപപ കഞചവ നരധന പൻവലകകക നമണയ മറ൦,Fake
Fake_112,ഉളപപലലയമയ നനന cpm എനന വളകക,original
Fake_113,jaivayudham ithu thann lola maha yudhammanushyar aaydham use chaitu war nadathuna kaalam vitittu jaiva wepon chaituivid skhya sakthik uthara coriarussiabeij that all,Fake
Fake_114,ith നരതത അറയവനനതലല,Fake
Fake_115,അയയ കഷട,original
Fake_116,ഇങങന പയൽ സഘടപപകകണട,original
Fake_117,എനറ കലയണ വളചചടടളള പനന അടങങനന തരവതര ഉണട അപപൾ കഴപപ ഇലലലല,original
