text,label
നലല അവതരണ സതയ പറതത വരടട,Fake
masha allah,Fake
അനവഷണ കഴയമപൾ യകക എതരയ കലപ ആകമ സവനത തനന പടചച അകതതടണട വരമ,Fake
illathentha avaru purath vidayittalland verenth,Fake
barana pakshathin matoru niyamamnalla moyanth manthrii,original
marunnu adyam kandupidichittey virou kandupidikkullu china,Fake
sudappik naadu mudikkum moorikallkk eandhu rajiyasneham,Fake
നണമണട ഗവണമനറ,original
aaayur veathana oru vitamin aaalug sareerathin keadillaathea kayikkunnath roagam maarunnumund butee vaythyanmaar parayunnath seriyaanoo annariyoolaonnu pareeksichoodeaaarudea velluvili seegarikkkoroanayulla aalugaludea adutheakkvid,Fake
patt sakhavin pokki parayuano atho trolluvano,original
ഖർആൻ ഉണടവ അതനറ മരനന വയചച നകകയൽ,Fake
ഇങങന ഉളള വടടകള ഒകക ജയപപചച വടനന മണടനമര കരള,original
നമമട അവകശങങൾ നമമകക തനനടട അതനന മററളളവരട ഔദരയങങൾ അലല അവകശമണ ഇതനന അവരട കടബസവതതലല തനനത,original
mega vaanamadi,original
ബജയൻ,original
coordin കളള,original
ഇവരട ഒനന തലയൽ ഒനനമലല,original
ആദയമയ ചനലകളൽ വരനന പരസയങങൾ സതയ എനന പരശധന നടതതൻ ഗവണമനറ ജഡഷയൽ കമമററ undakanam മടടവദന പരർതഥചചൽ സകസ ഏലസ അങങന തടങങ പലതന ചനലകൾ പരതഫല വങങ പരസയ ചയയനന ഇതലല ശസതരയമയ തററണ അറഞഞകണടണ ചനലകര പതരമധയമങങള പണതതന വണട ഇതന കടടപടകകനനത പനന എങങന സമഹ നനനവ കലല മമപതത വരകകൾ വയചചൽ വജഞനപരദമയ പലത ഗരഹകകമയരനന ഇനന തലമറയ മകകവറ വഡഢകൾ ആകകനന,Fake
രകതസകഷയ കടടയതലല ഒനന ആഘഷകകണട ഇങങളത എനതണപപ ഇങങന,original
വളര ഉപകരപപട കരണ എനകകതനന എനതങകല അസവസതത വരമപ ചലപപൾ സശയങങൾ വരറണട,original
corona paedichu poakumennano enthayalum rendum kalpichoru yaathra,Fake
അളളഹ ലവനമര രകഷകകൻ പററയലല പനനലല ലകക നരകൾകക തലയൽ ചണകമ കളമണണ ശവങങൾ വടവചച കലലണ ഭരനതനമര,Fake
അവതരണ കലകക,original
ജകകബ വടകകൻചരയ ഉളളവർ ചയയനനത british medic journal lancet തടങങയവയൽ വനന drug mafia പഴതതവചച പഠന റപപർടടകൾ ജനങങളൽ തറനന കണകകക book ഉളള കരയങങൾകക വപരതമയ modern medicin doctor സമഹതതൽ ചയയനന കരയങങൾ കടതൽ അസഖങങളലകക പവനന എനന കരയ ശസതയ അവകശപപടട സമഹതതൻറ അടചചൽപപകകനന മററ വശങങൾ ചനതചച നകകകകട എനനമഡയകൾ അനവശയമയ ജനങങള പടപപകകനനതന കറചച ലളതമയ ഭകഷണ കഴചച നനനയ ഉറങങ നലലത ചയത അസഖമലലത ജവചചട എനനലല അവർ ചദകകനനത അതര കരയമണ തനനനനണട,Fake
പണറയ രജവ വഡഡ പടയ അവന അഭനയചച കടബശര ചചചമരട ഓകക നലവര,original
good present nisha,Fake
all the rule regard covid protocol be onli for common man our high and mighti supercili minist beyond these they can organ mela like one abov collect thousand fawn public inaugur bridg such other them meant bent broken their gift gab will get thru,original
cpm and it parti confer be held throughout the statedisregard covid protocol manag sole respons for rampant spread state alarm level leader have organ massiv program like thiruvathirakali etcth central govern ministri health should order urgent inquiri abus rule,original
ജവൻ പലഞഞപപഴകക തരവതര song ഒകക readi ആകകയലല,original
പണറയ എവടട mask,original
കരളതത ഒനനനനയവമപൻ പരളയ വഴങങയപപൾദരതശവസ ഫണടൽ നനന ഫണട അടചച മററയലല കമമയണസററ പർടട,original
കറണ ഒകക ഇങങന പടകകണട കഴഞഞഇനയ പടചച ഇരനനൽ irikkath ഉളള,Fake
കറണ വറസ ഇനതയ കനടട വങങയതണ ചകൻ നരതത രമരമ പറഞഞടട കരയമലല ഇലല,Fake
oscar best song go inne parti lokamengum,original
china armi pinvalichuu oppam corona pinvalinuu,Fake
മസററർ സജൻ സകകറയ ഇതണ കവഡ മദയടയ അമത യടയ തണലൽ ഉഷറയ നടകകടട,Fake
കററപപൻ ഉയർ,original
pakhippan varumpol evattakale kuuttathod kathikkunna poleevattakal enth kathikkathathupakhik kodathiyil pokano ene,original
jeevichirunnalal ആചരങങൾ നടതതൻ പററ,Fake
ആരകകയ എനതകകയ പറയനന എനന നങങൾ തനന സതയവ മഥയയ നങങൾകക അറയലല ഇതലല മനസസലകകയടട പറഞഞൽ റഷയയല nകറയയല ആയരങങൾ രഗബധധരണ,Fake
കരതലണ ഇവരട മയൻ,original
വഡയ നലല എഡററഗ,original
pennugalk vera valla panikum poikood,original
ദവമ ഇവനമര അങങ തർതതക,Fake
മററ രജയങങളല സമപതതക സഥത തകരമപൾ അവടതത സഥപനങങൾ കളളവലയകക വങങൻ സധയതയണട,Fake
ചനയ പദപഠപപകകണ,Fake
,Fake
കരളതതൽ quotമനന മറകകനനquot നഷനതനറ പരഗര ഉദദശചചത,original
ഡഗര ഇലലതത ജകകബ സറനട വദപരതവദ നടതതൻ നങങൾ എടതതവർ ആരങകല ആണതതമളളവർ ഉണട അദദഹ വലലവളചചടട വലലവള സവകരകകൻ ധരയ കടടയലലലല ബരദകകര സഹതത പരകതയ തൽപപകകൻ കഴയലല,Fake
എനറ ചങകല,Fake
chekuthaan chirichaalum karanhjaalum pedikkanam,Fake
covid vaccin not all that effect which indic the pandem can someth differ,Fake
cpm raja baranam pole aayi,original
also doctor,Fake
പലസ തരവതരയലല പണവതര,original
marakam,original
കറണ യകക ഇപപ ജലദശ പനയയ അപപഴണ കറഞഞ വകസൻ ചർചച,Fake
കറണ നടടൽ കടക ആണലല ഇവററകളട ലകഷയ,original
വകസൻ എടതത എതര മരചച,Fake
horribl,Fake
ഭരകകനന വർക എനത തമമടതതവമണ,original
dislik adicha pottanmar,Fake
eee corona viru make china,Fake
those who have give their vote be bafn,original
മഴവൻ കറണ പടർനനടട ചനയൽ മതര എനത കണട പടർനന പടചചലല,Fake
പണവതര,original
kandalthaneareyamokeyboolokavedekalanen,original
കരള ഇപപളണ ഭരനതലയ ആയത അതനറ തതസമയ ദശയങങൾ കണടണട ഇരകകനനത,original
മലബർ എനന പരന അപമനപപകകനന ഇവൻ മനയ വയകതകള പണതതനയ അപമന,Fake
thank you shajan god bless മനസസൽ ആശവസ,Fake
